No,管理No,部屋名,X座標,Y座標,radius,イベント順序,イベント名,イベント本文,選択肢１名称,選択肢１本文（結果）,選択肢１経過時間,選択肢２名称,選択肢２本文（結果）,選択肢２経過時間,選択肢３名称,選択肢３本文（結果）,選択肢３経過時間,選択肢４名称,選択肢４本文（結果）,選択肢４経過時間,
15,8,透視室２,238,460,30,2,壁の亀裂,壁に縦の亀裂を発見,使用禁止にする,張り紙を貼って、進入禁止とする,3,記録を残して、本部に伝達,その後の対応はまた考える,2,従前からあったものと考える,建屋倒壊リスクがあり危険。,0,この部屋の他の異常を検索する。この項目は保留とする。,対応を後回しにし、状況を見る。,0,
16,27,CT室機械室,325,483,10,1,狭い部屋での揺れ,機材が密集しているなかで余震発生,廊下へ出る,狭い部屋での圧死リスクを回避。,1,機器を支える,機器と壁に挟まれ、背骨を強打,9,隅にうずくまる,棚が倒れてくるも負傷のみ,3,この部屋の他の異常を検索する。この項目は保留とする。,対応を後回しにし、状況を見る。,0,
17,27,CT室機械室,325,483,10,2,棚の破損,棚の上にあるパソコンが不安定である。床にモニターが倒れている,モニターを動かす,破片で手を切る,5,棚の上の物を下に置く,とりあえず安全に向ける,4,使用禁止にする,紙を貼って使用禁止にする,1,この部屋の他の異常を検索する。この項目は保留とする。,対応を後回しにし、状況を見る。,0,
18,27,CT室機械室,325,483,10,3,電源コードのスパーク,コンセント付近で焦げ臭い,プラグを抜く,初期消火成功。火災防止。,2,水をかける,感電事故発生。【死亡】,60,見なかったことにする,後に火災発生。,0,これ以上今の地点で見える異常はなさそうだ。,対応を後回し次に進む,0,
19,25,TV操作２,298,463,10,1,モニター倒壊,2面モニターが倒れてきそうだ。,椅子でガード・伏せる,身を守ることを最優先した。正解。,0,手で支える,液晶が割れていたことに気づかず手を怪我する,4,PC本体を守る,モニターをはずして床に置いた,1,この部屋の他の異常を検索する。この項目は保留とする。,対応を後回しにし、状況を見る。,0,
20,25,TV操作２,298,463,10,2,ガラス飛散防止,操作室の鉛ガラスにヒビ。崩れそうだ。,段ボール養生,飛散を最小限に抑え、通路確保。,5,使用禁止にする,紙を貼った際にガラス片で手を怪我する,5,ハンマーで割る,破片が飛び散り、部屋が使用不能に。,10,この部屋の他の異常を検索する。この項目は保留とする。,対応を後回しにし、状況を見る。,0,
21,25,TV操作２,298,463,10,3,情報収集（PHS）,院内PHSが繋がらない。,直接救急へ走る,確実な情報収集と安否確認ができた。,5,かけ直し続ける,回線パンクで繋がらず、10分浪費。,10,待機する,放射線科が無人と思われる。,10,これ以上今の地点で見える異常はなさそうだ。,対応を後回し次に進む,0,
22,48,読影室２,282,344,10,4,落下物,天井パネルが落ち、操作卓を直撃。,電源コードを抜く,誤作動とショートを防ぐ。,2,破片を手で払う,鋭利な金具で手を切る。,5,PCを起動する,異物が挟まりショート発火。,7,この部屋の他の異常を検索する。この項目は保留とする。,対応を後回しにし、状況を見る。,0,
23,48,読影室２,282,344,10,5,ドア開放の確認,唯一の出口であるドアが歪んでいる。,ドアストッパー設置,避難路を確保した。,2,閉めて鍵をかける,余震で完全に開かなくなる。,5,使用禁止にする,紙を貼って使用禁止にする,2,この部屋の他の異常を検索する。この項目は保留とする。,対応を後回しにし、状況を見る。,0,
24,48,読影室２,282,344,10,6,ロッカーの転倒,ロッカーが倒れており中身が散乱している,ロッカーを元に状態に戻す,ロッカーが曲がっており、立てることができなかった。,4,邪魔にならないように隅に寄せる,通路のみ確保する。,3,中身を確認する,特に使えるものはなかった,1,これ以上今の地点で見える異常はなさそうだ。,対応を後回し次に進む,0,
25,45,患者廊下（RI）,940,398,10,1,パニック発生,外国人患者たちが叫び声を上げ、出口に走っている,大声で叫ぶ,数名が冷静さを取り戻した。,1,後ろから追いかけて落ち着かせる,とりあえず落ち着かせる。,0,同じように走る,出口を確保するために行動したが、転んでしまう,3,この部屋の他の異常を検索する。この項目は保留とする。,対応を後回しにし、状況を見る。,0,
26,45,患者廊下（RI）,940,398,10,2,トリアージ開始,出血患者と胸痛患者がいる。入り口から遭遇して助けを求められた,胸痛患者を優先,クラッシュ症候群リスクを考慮。,5,出血患者を優先,見た目の派手さに惑わされた。,3,全員に待機指示,状態悪化を見逃すリスクあり。,1,この部屋の他の異常を検索する。この項目は保留とする。,対応を後回しにし、状況を見る。,0,
27,45,患者廊下（RI）,940,398,10,3,天井パネルの崩落,天井パネルが落下,椅子の下・トイレ確認,うずくまっていた聴覚障害者を発見。,5,すぐ避難する,逃げ遅れを見捨てた。,1,大声で呼びかける,返事がなく見逃した。,2,これ以上今の地点で見える異常はなさそうだ。,対応を後回し次に進む,0,
28,18,乳腺撮影室,767,625,10,1,天井パネルの落下,部屋入り口のパネルが落下している,どける,通路確保。,1,天井を補修する,はしごを探して時間を取られる,5,パネルを片付けて使えるようにする,時間がかかった,4,この部屋の他の異常を検索する。この項目は保留とする。,対応を後回しにし、状況を見る。,0,
29,18,乳腺撮影室,767,625,10,2,床の隆起,盛り上がった個所があり、亀裂がある,テープでマーキング,見えるようにする。,1,隆起の上に椅子を置いておく,何かがあることを知らせる,2,特になにもしない,次に来た人がこける,2,この部屋の他の異常を検索する。この項目は保留とする。,対応を後回しにし、状況を見る。,0,
30,18,乳腺撮影室,767,625,10,3,壁に1m程度の亀裂,床と平行に1mの亀裂が走っている,もともとだと思う,特に問題ないとする,1,部屋を使用禁止にする,張り紙を貼って入室禁止にする。,1,亀裂をテープで補修する,亀裂からの冷風を防ぐ,5,これ以上今の地点で見える異常はなさそうだ。,対応を後回し次に進む,0,
31,24,TV操作１,295,550,10,1,外装に異変,外装に問題ないように見えるが現状、機器に亀裂はない,かるく見て問題ないと返すことが適法化,転落を防止した。基本動作。,1,アンカーボルトの確認,問題なし,3,ブレーカーを落とす,漏電防止措置を行った,1,この部屋の他の異常を検索する。この項目は保留とする。,対応を後回しにし、状況を見る。,0,
32,24,TV操作１,295,550,10,2,プリンターの落下,プリンターの上部が割れている,コンセントを抜く,火災の種を絶った。,1,プリンター上部が破損,とりあえず部品を集める,2,プリンターから紙を抜いておく,記録用紙としてA4は使用,2,この部屋の他の異常を検索する。この項目は保留とする。,対応を後回しにし、状況を見る。,0,
33,24,TV操作１,295,550,10,3,ラックが倒れている。,ラックが倒れており、プロテクターが散乱している,通路を確保する分のみ片付ける,最低限の確保,1,元の状態に戻す,それなりに時間がかかった。,3,プロテクターをつけて行動,体は重くなるが防護力UP,1,これ以上今の地点で見える異常はなさそうだ。,対応を後回し次に進む,0,
34,9,透視室１,254,540,20,1,内視鏡ユニット,内視鏡ユニット倒れているのがここからだと人がいるかわからない,様子確認,扉を少し開けて、生存確認,3,内視鏡看護師が出勤していないか確認する,救急外来の看護師がいるかを確認する,3,ラックの詳細確認,ラックが大きく損傷している。,1,この部屋の他の異常を検索する。この項目は保留とする。,対応を後回しにし、状況を見る。,0,
35,9,透視室１,254,540,20,2,床の一部が濡れる,バリウム、ガストロがこぼれ、床が濡れている。,シーツを敷く,応急措置を考えて実施,5,水で洗い流す,範囲が広がり収拾塚なような形となる。床が少しべたべたしたまま。,10,拭き取る,とりあえず大まかに拭いた。,1,この部屋の他の異常を検索する。この項目は保留とする。,対応を後回しにし、状況を見る。,0,
36,9,透視室１,254,540,20,3,トイレ閉じ込め,トイレから助けを呼ぶ声が聞こえた気がする。,ドアを蹴破る,緊急避難措置として行動したが誰もいなかった,5,鍵を探す,変形で鍵が使えなかった。,7,院内の管理部腫を呼ぶ,電話など繋がらない。,5,これ以上今の地点で見える異常はなさそうだ。,対応を後回し次に進む,0,
37,8,透視室２,238,460,20,1,棚からものが散乱,棚から固定具が全て落ちており、棚が４５度で倒れている,棚をおこす,触った瞬間に倒れてしまい、足を巻き込んだ,8,テープを探して進入禁止,危ないので予防措置を実施した。,2,使えそうなものを探す,ぎりぎり大丈夫であったが、次の余震で倒れるだろう,3,この部屋の他の異常を検索する。この項目は保留とする。,対応を後回しにし、状況を見る。,0,
38,8,透視室２,238,460,20,2,手荒い場の損傷,蛇口が壊れて生活水が絶え間なく出ている,吸水シートで覆う,感染拡大を防止。,3,素手でとめる,効果なく、疲れた。,5,救急外来に行き誰か呼ぶ,誰も助けてくれず時間の無駄,6,この部屋の他の異常を検索する。この項目は保留とする。,対応を後回しにし、状況を見る。,0,
39,8,透視室２,238,460,20,3,酸素吸引共用スタンド,音がしている,酸素流量計の確認,酸素が出ている,1,吸引側の確認,異常なし,0,根本から外す,不要な酸素流出を阻止,1,これ以上今の地点で見える異常はなさそうだ。,対応を後回し次に進む,0,
40,25,TV操作２,298,463,10,1,ペットボトル,操作卓に乗っていたペットボトルが倒れている,濡れている,拭き掃除する,1,ブレーカーを落とす,使用禁止にする,3,通電するか確認する,問題ないことを確認,5,この部屋の他の異常を検索する。この項目は保留とする。,対応を後回しにし、状況を見る。,0,
41,25,TV操作２,298,463,10,2,床の隆起,よくみると床が盛り上がっている,養生する,踏まないようにマーキング,3,張り紙をする,他の人に伝える,1,配線を確認する,机とケーブルが挟まっているのを発見。どかす,3,この部屋の他の異常を検索する。この項目は保留とする。,対応を後回しにし、状況を見る。,0,
42,25,TV操作２,298,463,10,3,電源,電源をつけて点検を行う,通常手順で電源をつける,付かない。（通電されていない）,3,ブレーカーを落とす,漏電防止としていったんブレーカーを落とす,1,マニュアルを探して対応する,呼んで該当箇所を探すのに時間がかかった,5,これ以上今の地点で見える異常はなさそうだ。,対応を後回し次に進む,0,
43,26,スタッフ控室,538,500,5,1,PC確認,電子カルテ端末。端末を確認した,RISの確認,リアルタイム更新ができない,1,PACSの確認,起動しない,1,電子カルテの確認,ブラワザが起動しない,1,この部屋の他の異常を検索する。この項目は保留とする。,対応を後回しにし、状況を見る。,0,
44,26,スタッフ控室,538,500,5,2,装備品の確保,ヘルメットとライトがある。,装備して部屋を出る,生存率と活動効率が大幅向上。,2,手ぶらで出る,落下物で頭部負傷。,1,スマホだけ持つ,片手が塞がり作業効率低下。,1,この部屋の他の異常を検索する。この項目は保留とする。,対応を後回しにし、状況を見る。,0,
45,26,スタッフ控室,538,500,5,3,食料の確保,非常食がロッカーにある。,ポケットに入れる,長期戦に備えた。,1,その場で食べる,喉が渇き、水が欲しくなる。,5,全部カバンに詰める,重くて動けなくなる。,3,これ以上今の地点で見える異常はなさそうだ。,対応を後回し次に進む,0,
46,49,受付,522,428,5,1,受付カウンター崩壊,受付用の電子カルテが倒れている,元に戻す,とりあえず整える,2,通路確保だけする,通路だけ確保,1,電源をつける,付かない。ケーブル損傷か？,2,この部屋の他の異常を検索する。この項目は保留とする。,対応を後回しにし、状況を見る。,0,
47,49,受付,522,428,5,2,カルテの保護,患者情報が散らばっている,片付ける,以外に少なかったので棚に入れた,2,持ち歩く,かさばるも持ち運べない量ではなかった,2,束ねるだけ,最低限のまとめた,1,この部屋の他の異常を検索する。この項目は保留とする。,対応を後回しにし、状況を見る。,0,
48,49,受付,522,428,5,3,電磁ロック,停電により電磁ロックが効いていない,手動開放し固定,避難経路を確保。,2,シャッターをあけてそこから通用する,とりあえず経路確保,1,こじ開けて保全,とりあえず通路確保,3,これ以上今の地点で見える異常はなさそうだ。,対応を後回し次に進む,0,
49,24,TV操作１,295,550,5,1,プロテクター散乱,防護衣ハンガーが倒れ道を塞ぐ。,端に寄せる,通路確保。,3,またいで通る,足を取られて転倒。,1,整理する,重くて腰を痛めるが安全な通路を確保できた,5,この部屋の他の異常を検索する。この項目は保留とする。,対応を後回しにし、状況を見る。,0,
50,24,TV操作１,295,550,5,2,防火扉の作動,防火扉が閉まっている。扉は熱くない,くぐり戸を確認,安全に通過。,2,全開にする,突っかかっていたので疲れた,5,蹴る,足を痛める。,1,この部屋の他の異常を検索する。この項目は保留とする。,対応を後回しにし、状況を見る。,0,
51,24,TV操作１,295,550,5,3,書類の散乱,マニュアル類が散乱している,片付ける,とりあえずきれいになった,3,どける,通路確保,1,それらを持ち歩く,動作が鈍くなる,1,これ以上今の地点で見える異常はなさそうだ。,対応を後回し次に進む,0,
52,48,読影室２,282,344,10,1,机の下に何かがある,机の下に気になるものがある,机の下を確認,人ではなく段ボールだった,2,声掛けする,反応なし,1,机をひっくり返す,段ボールだった,1,この部屋の他の異常を検索する。この項目は保留とする。,対応を後回しにし、状況を見る。,0,
53,48,読影室２,282,344,10,2,天井パネルの落下,ボードが落下し、天井ケーブルがむき出しとなっている,ボード回収,通路確保。,2,人がいないかだけ確認する,巻き込まれたひとはいなかった,0,天井上を確認する,脚立を探すのに時間を有した,5,この部屋の他の異常を検索する。この項目は保留とする。,対応を後回しにし、状況を見る。,0,
54,48,読影室２,282,344,10,3,備蓄食品の確保,備蓄用の食品を見つけた,食べる,お腹が満たされた。落ち着いた,2,備蓄食品を運ぶ準備をする,数を数えて台車を探さねば,2,安全かだけ確認して記録だけ残す,後で取りにこよう,2,これ以上今の地点で見える異常はなさそうだ。,対応を後回し次に進む,0,
55,27,CT室機械室,325,483,10,1,サーバーラック転倒,ラックが傾いている。倒れかけている,入室せず扉を閉める,倒壊による圧死を防ぐ。,1,使用禁止の紙を貼る,とりあえず封鎖,1,ケーブルを抜く,ショートし感電する事態をさけた,2,この部屋の他の異常を検索する。この項目は保留とする。,対応を後回しにし、状況を見る。,0,
56,27,CT室機械室,325,483,10,2,空調停止による熱,サーバー室が異常に暑い。,ドアを開放する,機器の熱暴走を遅らせる。,2,水を撒く,精密機器破損・感電してしまう,30,扇風機を探す,結局動かない,1,この部屋の他の異常を検索する。この項目は保留とする。,対応を後回しにし、状況を見る。,0,
57,27,CT室機械室,325,483,10,3,火災アラーム,煙感知器が作動しているような気がする,ハロン消火設備作動確認,窒息しないよう即時退避。,2,生存確認・人がいないか確認する,とりあえず人はいなさそう,0,人がいないか探す,ハロンガスにより呼吸困難になる,20,これ以上今の地点で見える異常はなさそうだ。,対応を後回し次に進む,0,
58,26,スタッフ控室,538,500,5,1,棚の転倒,書類棚が倒れ道を塞ぐ。,上を通行,足場を確認し慎重に通過。,2,片付ける,重すぎて動かない。腰痛。,5,動かして通れるだけの隙間を作る,かろうじて動いて通路確保,1,この部屋の他の異常を検索する。この項目は保留とする。,対応を後回しにし、状況を見る。,0,
59,41,自動扉（B棟）,573,399,5,1,ガラス片の散乱,額縁が落ちて割れている。,靴のまま端を歩く,安全確保。,1,素手で拾う,怪我をする。,2,ほうきで集めて回収する,時間がかかったが安全確保,4,この部屋の他の異常を検索する。この項目は保留とする。,対応を後回しにし、状況を見る。,0,
60,41,自動扉（B棟）,573,399,5,2,避難誘導,迷っている外来患者を発見,出口へ手招き、救急外来に誘導,的確に誘導できた,2,そのままにする,財布の盗難にあう,1,声だけで誘導する,患者が徘徊を続けてしまう。（どこかで巻き込まれる）,1,これ以上今の地点で見える異常はなさそうだ。,対応を後回し次に進む,0,
61,48,読影室２,282,344,5,4,閉じ込め確認,ドアが開かない。誰かいるのかも,大声を出し助けが必要か確認する,人はいなさそう,2,ドアを破壊,体力をかなり消耗した,5,張り紙を貼る,この時間は人がいないことを知らせる,1,この部屋の他の異常を検索する。この項目は保留とする。,対応を後回しにし、状況を見る。,0,
62,48,読影室２,282,344,5,5,懐中電灯の確保,備品のライトがある。,点灯確認し携帯する,光源確保した,1,電池を抜く,他に活用するために,1,場所はわかったので、ここに置いておく,とりあえず把握,1,この部屋の他の異常を検索する。この項目は保留とする。,対応を後回しにし、状況を見る。,0,
63,48,読影室２,282,344,5,6,書類棚が倒れている,ドアをこれが半分ふさいでいた,棚をとりあえずどける,時間はかかったがどかすことができた,10,棚の下を見た,とりあえず生存確認だけした,1,散乱したものを片付ける,特に何も必要なものはなかった,5,これ以上今の地点で見える異常はなさそうだ。,対応を後回し次に進む,0,
64,22,B-MRI（CPU),69,309,5,1,配管ダクト入口が破損,空気循環ができているのか不安,人を呼ぶ,修理を依頼したいが捕まらない,10,ダクトを外してみる,外れなかった,2,写真を撮って保全する。,保全,1,この部屋の他の異常を検索する。この項目は保留とする。,対応を後回しにし、状況を見る。,0,
65,22,B-MRI（CPU),69,309,5,2,ケーブルのスパークしている,配線から火花がでている,ブレーカーを落とす,火災防止。,2,手で握る,感電死する,20,水をかける,感電死,20,この部屋の他の異常を検索する。この項目は保留とする。,対応を後回しにし、状況を見る。,0,
66,22,B-MRI（CPU),69,309,5,3,照明器具が落下している,ガラスが床に散乱している,ブレーカーを落とす,廊下にどこにあるのかわからない,3,破片を手で払う,手を怪我する,3,持ち出す,不潔になる。,2,これ以上今の地点で見える異常はなさそうだ。,対応を後回し次に進む,0,
67,37,階段A棟,751,428,10,1,壁の亀裂,壁にX字の亀裂。,中央を歩く,倒壊リスク回避。,2,壁に寄りかかる,崩落に巻き込まれる。天井からパネルが落下,10,亀裂を触る,その部分の亀裂が広がる,4,この部屋の他の異常を検索する。この項目は保留とする。,対応を後回しにし、状況を見る。,0,
68,37,階段A棟,751,428,10,2,水漏れ発見,天井から水が滴下している。エアコン。,バケツ対応,すぐにいっぱいになる,5,防水シーツを置く,すぐにいっぱいになる,6,他の人に応援を求める,とりあえず伝達してみる。,2,この部屋の他の異常を検索する。この項目は保留とする。,対応を後回しにし、状況を見る。,0,
69,37,階段A棟,751,428,10,3,床の隆起,床が液状化している,隆起しているところをロープを張る,つまずかないようにする,2,テープを張る,見えにくいが、応急措置をした,2,そこにあるものを置いておく,他の人に邪魔だとどかされてしまう。（10分後）,5,これ以上今の地点で見える異常はなさそうだ。,対応を後回し次に進む,0,
70,10,血管撮影室２,118,349,20,1,Cアーム,固定されているはずのCアームが揺れている,アーム退避・ロック,ロックがかからない,2,アンカーボルトの確認,アンカーボルトが浮いているようにみえる,0,触らないようにする,使用禁止になる,1,この部屋の他の異常を検索する。この項目は保留とする。,対応を後回しにし、状況を見る。,0,
71,10,血管撮影室２,118,349,20,2,自動注入器が落下,自立型のインジェクターが落下している,脇に置いておく,後で考える。,2,電源をつけて自己診断させる。,使用可能となる。,2,断線しているかもしれないので、コードを確認する。,破損なし,5,この部屋の他の異常を検索する。この項目は保留とする。,対応を後回しにし、状況を見る。,0,
72,10,血管撮影室２,118,349,20,3,壁の亀裂,壁に1cm×4cmの亀裂を発見,とりあえず、亀裂を隠す,紙でも貼っておく,2,危険なので、部屋を使用禁止にする,とりあえず人を入れないようにする。,1,亀裂の中を確認する,亀裂が広がる,4,これ以上今の地点で見える異常はなさそうだ。,対応を後回し次に進む,0,
73,51,カテ室操作室,98,419,10,1,床下が濡れている,傍の水道が水漏れしている,水漏れを直す,物がないので直せない,4,防水テープを巻く,どこにあるかわからない,2,とりあえず、床の重要なものだけ動かす,とりあえず必要なものだけ移動させた,3,この部屋の他の異常を検索する。この項目は保留とする。,対応を後回しにし、状況を見る。,0,
74,51,カテ室操作室,98,419,10,2,鉛防護衣ハンガー倒壊・防護具散乱,ラックが傾いている。倒れている,端に寄せる,通路を確保,3,ラックを元に戻す,一気にしても重くて動かない。一つ一つしていると以外に時間がかかる,12,検査に入りそうな分だけ使えるか確認する,最低限の使用するときのものを整える,4,この部屋の他の異常を検索する。この項目は保留とする。,対応を後回しにし、状況を見る。,0,
75,51,カテ室操作室,98,419,10,3,薬剤の散乱,アンプルが割れている。,近づかない,受傷防止。,1,素手で拾う,切り傷。,2,ほうきで集めて回収する,ほうきを探すのに時間がかかった,6,これ以上今の地点で見える異常はなさそうだ。,対応を後回し次に進む,0,
76,26,スタッフ控室,538,500,5,1,情報端末の確保,電子カルテ端末。,電源確保し情報収集,患者情報入手。,3,ゲームをする,論外。,0,分解する,器物損壊。,0,この部屋の他の異常を検索する。この項目は保留とする。,対応を後回しにし、状況を見る。,0,
77,26,スタッフ控室,538,500,5,3,筆記具の確保,落ちていた油性ペンとメモ,ポケットに入れる,何かに使えそうだ,1,伝言メモを残す,誰かが見てくれると思い記載する,2,そのままにする,後で取りにこよう,1,これ以上今の地点で見える異常はなさそうだ。,対応を後回し次に進む,0,
78,20,MRI前多目的トイレ,218,310,5,3,中に誰かいる？,声が聞こえた気がする,開閉ボタンを押す（扉をあける）,動かない。手動でも開かない。,0,声掛けする,誰もいない？反応なし,0,人をよんで扉を開ける,人が倒れていて、扉に引っかかっていた。救助,4,これ以上今の地点で見える異常はなさそうだ。,対応を後回し次に進む,0,
79,11,血管撮影室１,99,481,20,1,大型モニター落下,天吊りモニターが外れかけ。,直下退避,人身事故防止。,1,支える,圧死。,0,見上げる,顔面に落下。,0,この部屋の他の異常を検索する。この項目は保留とする。,対応を後回しにし、状況を見る。,0,
80,11,血管撮影室１,99,481,20,2,Cアームが傾き,Cアームが気持ち傾いて見える,電源をつけてエラーを確認,通電できたもののエラーは確認できず,10,水平器で確認,発災前と変化したのかよくわからない,5,アンカーボルトの確認,特に浮いているように思わない,2,この部屋の他の異常を検索する。この項目は保留とする。,対応を後回しにし、状況を見る。,0,
81,11,血管撮影室１,99,481,20,3,天井パネルの落下,寝台付近のパネルが落下して破片が散乱している,掃除する,以外に時間がかかる,5,使用禁止の紙を貼る,入室禁止にする。,1,天井を確認する,脚立を見つけるのに時間がかかったが安全確認した,10,これ以上今の地点で見える異常はなさそうだ。,対応を後回し次に進む,0,
82,10,血管撮影室２,118,349,7,1,カテーテル棚倒壊,カテーテルが散乱。,踏まないよう迂回,物品保護。,2,使えるように片付ける,以外に時間がかかる,10,高そうなものだけ片付ける,破損・転倒回避,2,この部屋の他の異常を検索する。この項目は保留とする。,対応を後回しにし、状況を見る。,0,
83,10,血管撮影室２,118,349,7,2,ラージモニターが破損,ラージモニターのレール破損し落下している。,壁際へ退避,自分の身を守りながら観察する,1,動かしてみる,天井からレールが落下。頭部損傷,17,部屋を使用禁止とし、張り紙をはる,危険回避,4,この部屋の他の異常を検索する。この項目は保留とする。,対応を後回しにし、状況を見る。,0,
84,10,血管撮影室２,118,349,7,3,バイタルモニター,倒れており、液晶モニターが破損している。音が鳴っている,触らないようにする,とりあえず、後回しにする,1,音を消す,ボタン操作する,1,電源切る,監視放棄。,0,これ以上今の地点で見える異常はなさそうだ。,対応を後回し次に進む,0,
85,17,ゴミ保管庫,160,397,7,1,感染性廃棄物箱から液体,不明な液体溜まり。,触らず迂回,薬品・感染の回避,1,臭いを嗅ぐ,誤って鼻についてしまう。精神的にダメージを負う,3,拭き取る,手荒れ・感染。,7,この部屋の他の異常を検索する。この項目は保留とする。,対応を後回しにし、状況を見る。,0,
